Date,Close/Last,Volume,Open,High,Low
03/31/2023,13181.35,--,12968.96,13188.83,12968.00
03/30/2023,12963.14,--,12934.99,12987.97,12894.14
03/29/2023,12846.03,--,12768.14,12867.32,12734.68
03/28/2023,12610.57,--,12654.91,12654.91,12517.87
03/27/2023,12673.07,--,12797.90,12839.42,12647.94
03/24/2023,12767.05,--,12700.51,12770.28,12608.15
03/23/2023,12729.23,--,12735.60,12900.10,12611.67
03/22/2023,12567.15,--,12742.41,12943.62,12563.78
03/21/2023,12741.44,--,12643.35,12762.45,12582.76
03/20/2023,12562.61,--,12487.79,12578.35,12407.82
03/17/2023,12519.88,--,12570.16,12674.34,12444.08
03/16/2023,12581.39,--,12211.87,12595.69,12190.65
03/15/2023,12251.32,--,12083.24,12269.45,12026.18
03/14/2023,12199.79,--,12078.46,12217.87,12035.22
03/13/2023,11923.17,--,11752.10,12073.95,11695.41
03/10/2023,11830.28,--,12001.70,12069.62,11789.86
03/09/2023,11995.88,--,12230.84,12340.45,11970.34
03/08/2023,12215.33,--,12181.06,12237.72,12102.28
03/07/2023,12152.17,--,12303.19,12344.04,12130.01
03/06/2023,12302.48,--,12344.65,12466.88,12297.57
03/03/2023,12290.81,--,12110.71,12300.46,12095.24
03/02/2023,12044.87,--,11830.09,12074.59,11830.09
03/01/2023,11938.57,--,12026.72,12054.48,11906.58
02/28/2023,12042.12,--,12041.75,12146.52,12021.32
02/27/2023,12057.79,--,12106.79,12159.64,12034.61
02/24/2023,11969.65,--,11979.80,12018.32,11900.84
02/23/2023,12180.14,--,12224.44,12227.40,12003.31
02/22/2023,12066.27,--,12085.67,12156.21,12006.04
02/21/2023,12060.30,--,12205.21,12257.06,12058.23
02/17/2023,12358.18,--,12352.30,12385.52,12233.79
02/16/2023,12442.48,--,12495.07,12653.40,12440.00
02/15/2023,12687.89,--,12531.60,12689.34,12486.42
02/14/2023,12590.89,--,12413.10,12627.40,12356.32
02/13/2023,12502.31,--,12356.50,12522.78,12313.45
02/10/2023,12304.92,--,12306.59,12375.72,12204.21
02/09/2023,12381.17,--,12677.54,12679.54,12327.44
02/08/2023,12495.38,--,12680.03,12709.45,12471.11
02/07/2023,12728.27,--,12474.95,12771.59,12419.71
02/06/2023,12464.51,--,12468.80,12558.87,12411.88
02/03/2023,12573.36,--,12520.95,12828.71,12520.95
02/02/2023,12803.14,--,12655.18,12880.98,12600.76
02/01/2023,12363.10,--,12087.92,12458.87,12010.73
01/31/2023,12101.93,--,11915.94,12104.13,11915.94
01/30/2023,11912.39,--,12047.16,12087.68,11906.11
01/27/2023,12166.60,--,12000.21,12248.15,11999.87
01/26/2023,12051.48,--,11972.57,12055.81,11853.37
01/25/2023,11814.69,--,11636.01,11841.81,11550.07
01/24/2023,11846.64,--,11802.95,11889.37,11780.07
01/23/2023,11872.54,--,11652.00,11918.86,11617.83
01/20/2023,11619.03,--,11363.85,11623.20,11329.54
01/19/2023,11295.67,--,11345.19,11388.46,11251.94
01/18/2023,11410.29,--,11636.61,11690.27,11403.31
01/17/2023,11557.19,--,11531.54,11615.95,11484.02
01/13/2023,11541.48,--,11362.13,11547.96,11347.60
01/12/2023,11459.61,--,11441.45,11500.86,11246.02
01/11/2023,11402.52,--,11259.16,11403.89,11220.75
01/10/2023,11205.78,--,11069.05,11207.56,11050.68
