日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index Chinese Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20170405,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7111.10,110.36,1.58,0.00,0.00,511
20170406,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7127.68,16.58,0.23,0.00,0.00,511
20170407,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7146.08,18.40,0.26,0.00,0.00,511
20170410,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7110.13,-35.95,-0.50,0.00,0.00,511
20170411,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7149.65,39.52,0.56,0.00,0.00,511
20170412,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7116.58,-33.06,-0.46,0.00,0.00,511
20170413,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7134.17,17.59,0.25,0.00,0.00,511
20170414,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7063.22,-70.95,-0.99,0.00,0.00,511
20170417,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7016.97,-46.24,-0.65,0.00,0.00,511
20170418,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6990.38,-26.59,-0.38,0.00,0.00,511
20170419,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6947.65,-42.74,-0.61,0.00,0.00,511
20170420,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6970.63,22.98,0.33,0.00,0.00,511
20170421,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6949.42,-21.21,-0.30,0.00,0.00,511
20170424,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6834.58,-114.84,-1.65,0.00,0.00,511
20170425,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6868.08,33.50,0.49,0.00,0.00,511
20170426,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6875.92,7.84,0.11,0.00,0.00,511
20170427,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6895.71,19.79,0.29,0.00,0.00,511
20170428,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6897.69,1.98,0.03,0.00,0.00,511
20170502,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6887.00,-10.69,-0.16,0.00,0.00,511
20170503,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6867.55,-19.45,-0.28,0.00,0.00,511
20170504,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6841.50,-26.05,-0.38,0.00,0.00,511
20170505,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6774.10,-67.40,-0.99,0.00,0.00,511
20170508,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6686.28,-87.82,-1.30,0.00,0.00,511
20170509,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6706.79,20.51,0.31,0.00,0.00,511
20170510,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6642.00,-64.79,-0.97,0.00,0.00,511
20170511,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6657.35,15.35,0.23,0.00,0.00,511
20170512,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6671.31,13.96,0.21,0.00,0.00,511
20170515,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6701.82,30.51,0.46,0.00,0.00,511
20170516,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6801.03,99.21,1.48,0.00,0.00,511
20170517,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6786.95,-14.09,-0.21,0.00,0.00,511
20170518,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6749.54,-37.41,-0.55,0.00,0.00,511
20170519,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6745.56,-3.98,-0.06,0.00,0.00,511
20170522,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6711.05,-34.50,-0.51,0.00,0.00,511
20170523,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6650.81,-60.24,-0.90,0.00,0.00,511
20170524,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6662.83,12.02,0.18,0.00,0.00,511
20170525,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6725.17,62.34,0.94,0.00,0.00,511
20170526,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6713.92,-11.25,-0.17,0.00,0.00,511
20170531,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6715.97,2.04,0.03,0.00,0.00,511
20170601,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6657.38,-58.59,-0.87,0.00,0.00,511
20170602,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6675.01,17.62,0.26,0.00,0.00,511
20170605,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6688.42,13.42,0.20,0.00,0.00,511
20170606,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6728.60,40.18,0.60,0.00,0.00,511
20170607,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6832.70,104.10,1.55,0.00,0.00,511
20170608,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6863.76,31.06,0.45,0.00,0.00,511
20170609,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6887.48,23.71,0.35,0.00,0.00,511
20170612,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6848.16,-39.31,-0.57,0.00,0.00,511
20170613,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6895.08,46.92,0.69,0.00,0.00,511
20170614,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6853.44,-41.64,-0.60,0.00,0.00,511
20170615,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6873.51,20.07,0.29,0.00,0.00,511
20170616,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6870.79,-2.72,-0.04,0.00,0.00,511
20170619,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6930.32,59.52,0.87,0.00,0.00,511
