日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index Chinese Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20170620,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6927.94,-2.37,-0.03,0.00,0.00,511
20170621,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6978.11,50.17,0.72,0.00,0.00,511
20170622,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6932.99,-45.12,-0.65,0.00,0.00,511
20170623,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6974.51,41.52,0.60,0.00,0.00,511
20170626,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7063.06,88.54,1.27,0.00,0.00,511
20170627,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7075.72,12.66,0.18,0.00,0.00,511
20170628,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7017.57,-58.15,-0.82,0.00,0.00,511
20170629,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7057.01,39.44,0.56,0.00,0.00,510
20170630,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7067.87,50.30,0.72,0.00,0.00,510
20170703,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7064.99,-2.88,-0.04,0.00,0.00,510
20170704,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7023.65,-41.34,-0.59,0.00,0.00,510
20170705,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7096.20,72.54,1.03,0.00,0.00,510
20170706,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7104.28,8.08,0.11,0.00,0.00,510
20170707,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7109.50,5.22,0.07,0.00,0.00,510
20170710,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7085.38,-24.12,-0.34,0.00,0.00,510
20170711,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7072.60,-12.78,-0.18,0.00,0.00,510
20170712,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7063.35,-9.25,-0.13,0.00,0.00,510
20170713,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7092.13,28.78,0.41,0.00,0.00,510
20170714,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7098.29,6.16,0.09,0.00,0.00,510
20170717,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6931.98,-166.31,-2.34,0.00,0.00,510
20170718,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,6955.08,23.09,0.33,0.00,0.00,510
20170719,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7070.97,115.89,1.67,0.00,0.00,510
20170720,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7108.24,37.27,0.53,0.00,0.00,510
20170721,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7102.80,-5.44,-0.08,0.00,0.00,510
20170724,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7132.79,29.99,0.42,0.00,0.00,510
20170725,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7101.36,-31.43,-0.44,0.00,0.00,510
20170726,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7073.44,-27.92,-0.39,0.00,0.00,510
20170727,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7103.42,29.98,0.42,0.00,0.00,510
20170728,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7128.13,24.71,0.35,0.00,0.00,510
20170731,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7168.29,40.16,0.56,0.00,0.00,510
20170801,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7188.32,20.04,0.28,0.00,0.00,510
20170802,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7155.06,-33.26,-0.46,0.00,0.00,510
20170803,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7119.42,-35.64,-0.50,0.00,0.00,510
20170804,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7100.35,-19.07,-0.27,0.00,0.00,510
20170807,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7150.13,49.78,0.70,0.00,0.00,510
20170808,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7160.75,10.62,0.15,0.00,0.00,510
20170809,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7182.35,21.60,0.30,0.00,0.00,510
20170810,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7152.99,-29.36,-0.41,0.00,0.00,510
20170811,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7038.91,-114.08,-1.59,0.00,0.00,510
20170814,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7159.19,120.28,1.71,0.00,0.00,510
20170815,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7180.72,21.53,0.30,0.00,0.00,567
20170816,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7187.71,6.98,0.10,0.00,0.00,567
20170817,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7216.80,29.10,0.40,0.00,0.00,567
20170818,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7198.05,-18.75,-0.26,0.00,0.00,567
20170821,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7238.24,40.19,0.56,0.00,0.00,567
20170822,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7234.62,-3.63,-0.05,0.00,0.00,567
20170823,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7217.34,-17.28,-0.24,0.00,0.00,567
20170824,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7175.37,-41.97,-0.58,0.00,0.00,567
20170825,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7259.62,84.25,1.17,0.00,0.00,566
20170828,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7340.05,80.42,1.11,0.00,0.00,566
20170829,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7321.31,-18.74,-0.26,0.00,0.00,566
20170830,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7348.74,27.44,0.37,0.00,0.00,566
20170831,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7350.18,1.43,0.02,0.00,0.00,566
20170901,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7387.31,37.13,0.51,0.00,0.00,566
20170904,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7421.31,34.00,0.46,0.00,0.00,566
20170905,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7438.19,16.88,0.23,0.00,0.00,566
20170906,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7450.60,12.41,0.17,0.00,0.00,566
20170907,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7405.99,-44.62,-0.60,0.00,0.00,566
20170908,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7406.64,0.66,0.01,0.00,0.00,566
20170911,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7458.57,51.93,0.70,0.00,0.00,566
20170912,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7450.67,-7.90,-0.11,0.00,0.00,566
20170913,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7480.48,29.81,0.40,0.00,0.00,566
20170914,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7453.29,-27.20,-0.36,0.00,0.00,566
20170915,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7435.63,-17.65,-0.24,0.00,0.00,566
20170918,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7481.01,45.38,0.61,0.00,0.00,566
20170919,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7444.49,-36.52,-0.49,0.00,0.00,566
20170920,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7487.05,42.56,0.57,0.00,0.00,566
20170921,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7447.87,-39.18,-0.52,0.00,0.00,566
20170922,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7435.19,-12.69,-0.17,0.00,0.00,566
20170925,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7383.74,-51.45,-0.69,0.00,0.00,566
20170926,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7386.89,3.16,0.04,0.00,0.00,566
20170927,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7433.49,46.60,0.63,0.00,0.00,566
20170928,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7438.71,5.22,0.07,0.00,0.00,566
20170929,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7476.62,37.92,0.51,0.00,0.00,566
20171009,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7557.49,80.87,1.08,0.00,0.00,566
20171010,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7576.27,18.77,0.25,0.00,0.00,566
20171011,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7576.69,0.42,0.01,0.00,0.00,566
20171012,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7590.48,13.80,0.18,0.00,0.00,566
20171013,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7621.98,31.49,0.41,0.00,0.00,566
20171016,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7579.80,-42.18,-0.55,0.00,0.00,566
20171017,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7577.62,-2.17,-0.03,0.00,0.00,566
20171018,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7596.37,18.75,0.25,0.00,0.00,566
20171019,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7558.95,-37.42,-0.49,0.00,0.00,566
20171020,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7591.28,32.33,0.43,0.00,0.00,566
20171023,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7628.55,37.28,0.49,0.00,0.00,566
20171024,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7644.54,15.98,0.21,0.00,0.00,566
20171025,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7690.24,45.70,0.60,0.00,0.00,566
20171026,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7715.47,25.23,0.33,0.00,0.00,566
20171027,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7726.98,11.51,0.15,0.00,0.00,566
20171030,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7659.77,-67.21,-0.87,0.00,0.00,566
20171031,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7683.97,24.20,0.32,0.00,0.00,566
20171101,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7671.38,-12.59,-0.16,0.00,0.00,566
20171102,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7634.87,-36.50,-0.48,0.00,0.00,566
20171103,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7605.14,-29.73,-0.39,0.00,0.00,566
20171106,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7690.69,85.55,1.12,0.00,0.00,566
20171107,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7734.52,43.82,0.57,0.00,0.00,566
20171108,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7725.82,-8.69,-0.11,0.00,0.00,566
20171109,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7784.68,58.86,0.76,0.00,0.00,566
20171110,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7857.81,73.12,0.94,0.00,0.00,566
20171113,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7891.73,33.93,0.43,0.00,0.00,566
20171114,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7823.65,-68.08,-0.86,0.00,0.00,566
20171115,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7744.27,-79.39,-1.01,0.00,0.00,566
20171116,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7802.44,58.17,0.75,0.00,0.00,566
20171117,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7712.81,-89.63,-1.15,0.00,0.00,566
20171120,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7786.84,74.03,0.96,0.00,0.00,566
20171121,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7869.95,83.11,1.07,0.00,0.00,566
20171122,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7857.52,-12.43,-0.16,0.00,0.00,566
20171123,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7620.21,-237.31,-3.02,0.00,0.00,566
20171124,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7613.86,-6.35,-0.08,0.00,0.00,566
20171127,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7497.84,-116.02,-1.52,0.00,0.00,566
20171128,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7567.33,69.48,0.93,0.00,0.00,566
20171129,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7556.46,-10.87,-0.14,0.00,0.00,566
20171130,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7477.15,-79.31,-1.05,0.00,0.00,566
20171201,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7498.93,21.78,0.29,0.00,0.00,566
20171204,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7516.67,17.74,0.24,0.00,0.00,566
20171205,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7464.38,-52.29,-0.70,0.00,0.00,566
20171206,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7455.66,-8.71,-0.12,0.00,0.00,566
20171207,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7390.42,-65.24,-0.88,0.00,0.00,566
20171208,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7469.16,78.74,1.07,0.00,0.00,566
20171211,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7595.74,126.57,1.69,0.00,0.00,566
20171212,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7520.99,-74.74,-0.98,0.00,0.00,566
20171213,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7582.35,61.35,0.82,0.00,0.00,566
20171214,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7558.62,-23.73,-0.31,0.00,0.00,566
20171215,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7470.25,-88.37,-1.17,0.00,0.00,566
20171218,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7459.96,-10.30,-0.14,0.00,0.00,566
20171219,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7537.83,77.87,1.04,0.00,0.00,566
20171220,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7517.33,-20.50,-0.27,0.00,0.00,566
20171221,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7590.70,73.38,0.98,0.00,0.00,566
20171222,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7576.54,-14.16,-0.19,0.00,0.00,566
20171225,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7526.29,-50.26,-0.66,0.00,0.00,566
20171226,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7543.64,17.35,0.23,0.00,0.00,566
20171227,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7447.68,-95.96,-1.27,0.00,0.00,566
20171228,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7497.29,49.61,0.67,0.00,0.00,566
20171229,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7535.93,38.64,0.52,0.00,0.00,566
20180102,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7621.01,85.08,1.13,0.00,0.00,566
20180103,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7683.11,62.09,0.81,0.00,0.00,566
20180104,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7718.50,35.40,0.46,0.00,0.00,566
20180105,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7712.02,-6.48,-0.08,0.00,0.00,566
20180108,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7738.07,26.05,0.34,0.00,0.00,566
20180109,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7777.53,39.46,0.51,0.00,0.00,566
20180110,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7766.25,-11.28,-0.15,0.00,0.00,566
20180111,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7762.87,-3.37,-0.04,0.00,0.00,566
20180112,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7770.51,7.63,0.10,0.00,0.00,566
20180115,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7693.17,-77.34,-1.00,0.00,0.00,566
20180116,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7733.85,40.68,0.53,0.00,0.00,566
20180117,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7697.68,-36.17,-0.47,0.00,0.00,566
20180118,H11021,中证股票型基金指数,股票基金,CSI Equity Fund Index,Equity Fund,,,,7730.94,33.26,0.43,0.00,0.00,566
